model,method,run,TP,FP,TN,FN,n_states,n_attractors,n_min_trap,update_scheme
n010_000.bnet,sd_mc,,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,null_mc,,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,ref,,56,968,0,0,1024,2,2,asynchronous
n010_000.bnet,random_mc,0,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,random_mc,1,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,random_mc,2,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,random_mc,3,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,random_mc,4,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,random_mc,5,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,random_mc,6,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,random_mc,7,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,random_mc,8,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,random_mc,9,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,random_mc,10,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,random_mc,11,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,random_mc,12,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,random_mc,13,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,random_mc,14,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,random_mc,15,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,random_mc,16,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,random_mc,17,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,random_mc,18,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,random_mc,19,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,random_mc,20,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,random_mc,21,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,random_mc,22,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,random_mc,23,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,random_mc,24,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,random_mc,25,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,random_mc,26,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,random_mc,27,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,random_mc,28,56,8,960,0,1024,2,2,asynchronous
n010_000.bnet,random_mc,29,56,8,960,0,1024,2,2,asynchronous
n010_001.bnet,sd_mc,,6,0,58,0,64,5,5,asynchronous
n010_001.bnet,null_mc,,6,0,58,0,64,5,5,asynchronous
n010_001.bnet,ref,,6,58,0,0,64,5,5,asynchronous
n010_001.bnet,random_mc,0,6,0,58,0,64,5,5,asynchronous
