bnet,method,run,group_count,group_size_mean,group_size_std,mc_edges_count,N,sources,N_perc,sources_perc,min_trap_count,attractor_count,update_scheme
n010_000.bnet,sd_mc,0,16,64.0,32.0,46,10,0,10,0,2,2,asynchronous
n010_000.bnet,null_mc,0,3,341.3333333333333,437.46339529407743,5,10,0,10,0,2,2,asynchronous
n010_000.bnet,random_mc,0,16,64.0,13.720422734012244,226,10,0,10,0,2,2,asynchronous
n010_000.bnet,random_mc,1,16,64.0,13.430376018563292,226,10,0,10,0,2,2,asynchronous
n010_000.bnet,random_mc,2,16,64.0,13.448977656312765,226,10,0,10,0,2,2,asynchronous
n010_000.bnet,random_mc,3,16,64.0,13.33697866834914,226,10,0,10,0,2,2,asynchronous
n010_000.bnet,random_mc,4,16,64.0,13.683932183404009,226,10,0,10,0,2,2,asynchronous
n010_000.bnet,random_mc,5,16,64.0,14.658615214269048,226,10,0,10,0,2,2,asynchronous
n010_000.bnet,random_mc,6,16,64.0,14.004463574160917,226,10,0,10,0,2,2,asynchronous
n010_000.bnet,random_mc,7,16,64.0,14.430869689661812,226,10,0,10,0,2,2,asynchronous
n010_000.bnet,random_mc,8,16,64.0,13.411748581001659,226,10,0,10,0,2,2,asynchronous
n010_000.bnet,random_mc,9,16,64.0,14.203872711341791,226,10,0,10,0,2,2,asynchronous
n010_000.bnet,random_mc,10,16,64.0,15.620499351813308,226,10,0,10,0,2,2,asynchronous
n010_000.bnet,random_mc,11,16,64.0,14.208272238382822,226,10,0,10,0,2,2,asynchronous
n010_000.bnet,random_mc,12,16,64.0,14.743642697786731,226,10,0,10,0,2,2,asynchronous
n010_000.bnet,random_mc,13,16,64.0,15.095529139450528,226,10,0,10,0,2,2,asynchronous
n010_000.bnet,random_mc,14,16,64.0,14.330910647966514,226,10,0,10,0,2,2,asynchronous
n010_000.bnet,random_mc,15,16,64.0,13.33697866834914,226,10,0,10,0,2,2,asynchronous
n010_000.bnet,random_mc,16,16,64.0,14.64581851587681,226,10,0,10,0,2,2,asynchronous
n010_000.bnet,random_mc,17,16,64.0,13.860916275629112,226,10,0,10,0,2,2,asynchronous
n010_000.bnet,random_mc,18,16,64.0,13.932874793092774,225,10,0,10,0,2,2,asynchronous
n010_000.bnet,random_mc,19,16,64.0,15.716233645501712,226,10,0,10,0,2,2,asynchronous
n010_000.bnet,random_mc,20,16,64.0,15.087246269614612,225,10,0,10,0,2,2,asynchronous
n010_000.bnet,random_mc,21,16,64.0,13.932874793092774,226,10,0,10,0,2,2,asynchronous
n010_000.bnet,random_mc,22,16,64.0,14.022303662380159,226,10,0,10,0,2,2,asynchronous
n010_000.bnet,random_mc,23,16,64.0,14.370107863199914,226,10,0,10,0,2,2,asynchronous
n010_000.bnet,random_mc,24,16,64.0,15.276616117452189,226,10,0,10,0,2,2,asynchronous
n010_000.bnet,random_mc,25,16,64.0,15.284796367632772,226,10,0,10,0,2,2,asynchronous
n010_000.bnet,random_mc,26,16,64.0,14.031215200402281,226,10,0,10,0,2,2,asynchronous
n010_000.bnet,random_mc,27,16,64.0,14.128871150944791,226,10,0,10,0,2,2,asynchronous
n010_000.bnet,random_mc,28,16,64.0,13.629013170439011,226,10,0,10,0,2,2,asynchronous
n010_000.bnet,random_mc,29,16,64.0,16.2596125415091,226,10,0,10,0,2,2,asynchronous
n010_001.bnet,sd_mc,0,12,5.333333333333333,8.065702421708576,32,10,0,6,1,5,5,asynchronous
n010_001.bnet,null_mc,0,6,10.666666666666666,21.171259344267224,11,10,0,6,1,5,5,asynchronous
n010_001.bnet,random_mc,0,12,5.333333333333333,3.9015666369065416,66,10,0,6,1,5,5,asynchronous
n010_001.bnet,random_mc,1,12,5.333333333333333,4.0483192671637065,66,10,0,6,1,5,5,asynchronous
n010_001.bnet,random_mc,2,12,5.333333333333333,3.8369548110737792,71,10,0,6,1,5,5,asynchronous
n010_001.bnet,random_mc,3,12,5.333333333333333,3.92286743197994,64,10,0,6,1,5,5,asynchronous
n010_001.bnet,random_mc,4,12,5.333333333333333,4.189935029992178,66,10,0,6,1,5,5,asynchronous
n010_001.bnet,random_mc,5,12,5.333333333333333,4.2295258468165065,68,10,0,6,1,5,5,asynchronous
n010_001.bnet,random_mc,6,12,5.333333333333333,4.068851871911234,66,10,0,6,1,5,5,asynchronous
n010_001.bnet,random_mc,7,12,5.333333333333333,4.749268949591669,66,10,0,6,1,5,5,asynchronous
n010_001.bnet,random_mc,8,12,5.333333333333333,4.4969125210773475,70,10,0,6,1,5,5,asynchronous
n010_001.bnet,random_mc,9,12,5.333333333333333,3.5901098714230026,71,10,0,6,1,5,5,asynchronous
n010_001.bnet,random_mc,10,12,5.333333333333333,3.9015666369065416,69,10,0,6,1,5,5,asynchronous
n010_001.bnet,random_mc,11,12,5.333333333333333,4.2295258468165065,68,10,0,6,1,5,5,asynchronous
n010_001.bnet,random_mc,12,12,5.333333333333333,3.5433819375782165,67,10,0,6,1,5,5,asynchronous
n010_001.bnet,random_mc,13,12,5.333333333333333,4.440970864824743,68,10,0,6,1,5,5,asynchronous
n010_001.bnet,random_mc,14,12,5.333333333333333,3.858612300930075,66,10,0,6,1,5,5,asynchronous
n010_001.bnet,random_mc,15,12,5.333333333333333,3.858612300930075,69,10,0,6,1,5,5,asynchronous
n010_001.bnet,random_mc,16,12,5.333333333333333,4.0483192671637065,70,10,0,6,1,5,5,asynchronous
n010_001.bnet,random_mc,17,12,5.333333333333333,3.8369548110737797,69,10,0,6,1,5,5,asynchronous
n010_001.bnet,random_mc,18,12,5.333333333333333,4.109609335312651,62,10,0,6,1,5,5,asynchronous
n010_001.bnet,random_mc,19,12,5.333333333333333,3.92286743197994,69,10,0,6,1,5,5,asynchronous
n010_001.bnet,random_mc,20,12,5.333333333333333,3.7267799624996494,67,10,0,6,1,5,5,asynchronous
n010_001.bnet,random_mc,21,12,5.333333333333333,3.7267799624996494,72,10,0,6,1,5,5,asynchronous
n010_001.bnet,random_mc,22,12,5.333333333333333,3.92286743197994,72,10,0,6,1,5,5,asynchronous
n010_001.bnet,random_mc,23,12,5.333333333333333,3.636237371545238,71,10,0,6,1,5,5,asynchronous
n010_001.bnet,random_mc,24,12,5.333333333333333,4.249182927993987,69,10,0,6,1,5,5,asynchronous
n010_001.bnet,random_mc,25,12,5.333333333333333,3.986086914367133,65,10,0,6,1,5,5,asynchronous
n010_001.bnet,random_mc,26,12,5.333333333333333,4.14996653266291,66,10,0,6,1,5,5,asynchronous
n010_001.bnet,random_mc,27,12,5.333333333333333,3.7043517951488116,68,10,0,6,1,5,5,asynchronous
n010_001.bnet,random_mc,28,12,5.333333333333333,4.6785562825394,68,10,0,6,1,5,5,asynchronous
n010_001.bnet,random_mc,29,12,5.333333333333333,3.9015666369065416,73,10,0,6,1,5,5,asynchronous
n010_002.bnet,sd_mc,0,5,25.6,19.043108989868223,12,10,0,7,0,1,1,asynchronous
n010_002.bnet,null_mc,0,2,64.0,63.0,3,10,0,7,0,1,1,asynchronous
n010_002.bnet,random_mc,0,5,25.6,13.35065541462291,20,10,0,7,0,1,1,asynchronous
n010_002.bnet,random_mc,1,5,25.6,12.642784503423286,21,10,0,7,0,1,1,asynchronous
n010_002.bnet,random_mc,2,5,25.6,12.41933975700802,21,10,0,7,0,1,1,asynchronous
n010_002.bnet,random_mc,3,5,25.6,13.35065541462291,21,10,0,7,0,1,1,asynchronous
n010_002.bnet,random_mc,4,5,25.6,13.836184445142381,19,10,0,7,0,1,1,asynchronous
n010_002.bnet,random_mc,5,5,25.6,13.078226179417452,20,10,0,7,0,1,1,asynchronous
n010_002.bnet,random_mc,6,5,25.6,13.484806264830059,20,10,0,7,0,1,1,asynchronous
n010_002.bnet,random_mc,7,5,25.6,12.563439019631527,21,10,0,7,0,1,1,asynchronous
n010_002.bnet,random_mc,8,5,25.6,12.547509713086498,21,10,0,7,0,1,1,asynchronous
n010_002.bnet,random_mc,9,5,25.6,13.74918179383777,21,10,0,7,0,1,1,asynchronous
n010_002.bnet,random_mc,10,5,25.6,13.632314550361578,21,10,0,7,0,1,1,asynchronous
n010_002.bnet,random_mc,11,5,25.6,13.734627770711517,20,10,0,7,0,1,1,asynchronous
n010_002.bnet,random_mc,12,5,25.6,12.41933975700802,20,10,0,7,0,1,1,asynchronous
n010_002.bnet,random_mc,13,5,25.6,14.249210504445502,20,10,0,7,0,1,1,asynchronous
n010_002.bnet,random_mc,14,5,25.6,13.093509842666327,21,10,0,7,0,1,1,asynchronous
n010_002.bnet,random_mc,15,5,25.6,13.032267646115928,20,10,0,7,0,1,1,asynchronous
n010_002.bnet,random_mc,16,5,25.6,13.016912076218384,21,10,0,7,0,1,1,asynchronous
n010_002.bnet,random_mc,17,5,25.6,12.92439553712281,21,10,0,7,0,1,1,asynchronous
n010_002.bnet,random_mc,18,5,25.6,13.92264342716569,21,10,0,7,0,1,1,asynchronous
n010_002.bnet,random_mc,19,5,25.6,12.97073629367277,20,10,0,7,0,1,1,asynchronous
n010_002.bnet,random_mc,20,5,25.6,13.690872872099865,19,10,0,7,0,1,1,asynchronous
n010_002.bnet,random_mc,21,5,25.6,12.97073629367277,19,10,0,7,0,1,1,asynchronous
n010_002.bnet,random_mc,22,5,25.6,12.92439553712281,20,10,0,7,0,1,1,asynchronous
n010_002.bnet,random_mc,23,5,25.6,12.611106216347558,21,10,0,7,0,1,1,asynchronous
n010_002.bnet,random_mc,24,5,25.6,12.403225386970924,21,10,0,7,0,1,1,asynchronous
n010_002.bnet,random_mc,25,5,25.6,12.611106216347558,19,10,0,7,0,1,1,asynchronous
n010_002.bnet,random_mc,26,5,25.6,14.458215657542254,21,10,0,7,0,1,1,asynchronous
n010_002.bnet,random_mc,27,5,25.6,12.483589227461788,21,10,0,7,0,1,1,asynchronous
n010_002.bnet,random_mc,28,5,25.6,14.305243793798134,19,10,0,7,0,1,1,asynchronous
n010_002.bnet,random_mc,29,5,25.6,12.515590277729613,20,10,0,7,0,1,1,asynchronous
n010_003.bnet,sd_mc,0,3,341.3333333333333,319.02176867557,6,10,0,10,0,1,1,asynchronous
n010_003.bnet,null_mc,0,2,512.0,511.0,3,10,0,10,0,1,1,asynchronous
n010_003.bnet,random_mc,0,3,341.3333333333333,240.66066474510444,7,10,0,10,0,1,1,asynchronous
n010_003.bnet,random_mc,1,3,341.3333333333333,240.86833655662497,7,10,0,10,0,1,1,asynchronous
n010_003.bnet,random_mc,2,3,341.3333333333333,240.66066474510444,7,10,0,10,0,1,1,asynchronous
n010_003.bnet,random_mc,3,3,341.3333333333333,240.68005502926266,7,10,0,10,0,1,1,asynchronous
n010_003.bnet,random_mc,4,3,341.3333333333333,240.72990858821197,7,10,0,10,0,1,1,asynchronous
n010_003.bnet,random_mc,5,3,341.3333333333333,240.65512437695753,7,10,0,10,0,1,1,asynchronous
n010_003.bnet,random_mc,6,3,341.3333333333333,241.23340472570453,7,10,0,10,0,1,1,asynchronous
n010_003.bnet,random_mc,7,3,341.3333333333333,240.94305459082145,7,10,0,10,0,1,1,asynchronous
n010_003.bnet,random_mc,8,3,341.3333333333333,240.80466957450992,7,10,0,10,0,1,1,asynchronous
n010_003.bnet,random_mc,9,3,341.3333333333333,242.49032053992497,7,10,0,10,0,1,1,asynchronous
n010_003.bnet,random_mc,10,3,341.3333333333333,240.6939042758573,7,10,0,10,0,1,1,asynchronous
n010_003.bnet,random_mc,11,3,341.3333333333333,240.6939042758573,7,10,0,10,0,1,1,asynchronous
n010_003.bnet,random_mc,12,3,341.3333333333333,240.86833655662497,7,10,0,10,0,1,1,asynchronous
n010_003.bnet,random_mc,13,3,341.3333333333333,240.7520624118422,7,10,0,10,0,1,1,asynchronous
n010_003.bnet,random_mc,14,3,341.3333333333333,240.68005502926266,7,10,0,10,0,1,1,asynchronous
n010_003.bnet,random_mc,15,3,341.3333333333333,240.71052231997578,7,10,0,10,0,1,1,asynchronous
n010_003.bnet,random_mc,16,3,341.3333333333333,240.71052231997578,7,10,0,10,0,1,1,asynchronous
n010_003.bnet,random_mc,17,3,341.3333333333333,240.83512110063091,7,10,0,10,0,1,1,asynchronous
n010_003.bnet,random_mc,18,3,341.3333333333333,240.83512110063091,7,10,0,10,0,1,1,asynchronous
